n_sites,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,1.0,0.5,0.5,neel_x,2.0,0.125,16,2.0,mass_density,trotter1,0.1344813871971695,0.004862264595273891,0.10564888159300695,0.011161686181853203,1.0362081563168128e-15,1.397549672621161,0.0009565640164556429,0.17469370907764512,1.494631275711942e-05
3,1.0,0.5,0.5,neel_x,2.0,0.125,16,2.0,mass_density,trotter2,0.1344813871971698,0.004862264595273613,0.01335869260612856,0.00017845466814503386,0.0,1.397549672621161,0.0009565640164556429,0.17469370907764512,1.494631275711942e-05
3,1.0,0.5,0.5,neel_x,2.0,0.0625,32,2.0,mass_density,exact,0.1393436517924434,0.0,0.0,0.0,7.401486830834377e-17,1.397549672621161,0.0009565640164556429,0.08734685453882256,3.736578189279855e-06
3,1.0,0.5,0.5,neel_x,2.0,0.0625,32,2.0,mass_density,trotter1,0.13812172982622686,0.0012219219662165381,0.050984201446777525,0.0025993887971655916,3.552713678800501e-15,1.397549672621161,0.0009565640164556429,0.08734685453882256,3.736578189279855e-06
3,1.0,0.5,0.5,neel_x,2.0,0.0625,32,2.0,mass_density,trotter2,0.1381217298262267,0.0012219219662167047,0.003328081638411097,1.1076127391929091e-05,6.291263806209221e-16,1.397549672621161,0.0009565640164556429,0.08734685453882256,3.736578189279855e-06
3,1.0,0.5,0.5,neel_x,2.0,0.03125,64,2.0,mass_density,exact,0.1393436517924434,0.0,0.0,0.0,7.401486830834377e-17,1.397549672621161,0.0009565640164556429,0.04367342726941128,9.341445473199637e-07
3,1.0,0.5,0.5,neel_x,2.0,0.03125,64,2.0,mass_density,trotter1,0.1390377861603767,0.00030586563206669304,0.02504356125486187,0.0006271799603260186,4.6629367034256575e-15,1.397549672621161,0.0009565640164556429,0.04367342726941128,9.341445473199637e-07
3,1.0,0.5,0.5,neel_x,2.0,0.03125,64,2.0,mass_density,trotter2,0.13903778616037774,0.0003058656320656661,0.0008312920952659962,6.910465476517302e-07,8.43769498715119e-15,1.397549672621161,0.0009565640164556429,0.04367342726941128,9.341445473199637e-07
3,1.0,0.5,0.5,neel_x,4.0,0.5,8,4.0,mass_density,exact,0.20465479868322523,0.0,0.0,0.0,0.0,1.1615871756555052,0.006970951661922227,0.5807935878277526,0.0017427379154805567
3,1.0,0.5,0.5,neel_x,4.0,0.5,8,4.0,mass_density,trotter1,0.06998248706997835,0.1346723116132469,0.6089205574113179,0.37078424523811004,9.62193288008469e-16,1.1615871756555052,0.006970951661922227,0.5807935878277526,0.0017427379154805567
3,1.0,0.5,0.5,neel_x,4.0,0.5,8,4.0,mass_density,trotter2,0.06998248706997841,0.13467231161324683,0.3852741322687544,0.14843615699544166,9.251858538542972e-16,1.1615871756555052,0.006970951661922227,0.5807935878277526,0.0017427379154805567
3,1.0,0.5,0.5,neel_x,4.0,0.25,16,4.0,mass_density,exact,0.20465479868322523,0.0,0.0,0.0,0.0,1.1615871756555052,0.006970951661922227,0.2903967939138763,0.00043568447887013916
3,1.0,0.5,0.5,neel_x,4.0,0.25,16,4.0,mass_density,trotter1,0.16985455969482502,0.034800238988400206,0.24830405298659003,0.06165490272956731,3.7007434154171886e-16,1.1615871756555052,0.006970951661922227,0.2903967939138763,0.00043568447887013916
3,1.0,0.5,0.5,neel_x,4.0,0.25,16,4.0,mass_density,trotter2,0.1698545596948247,0.03480023898840051,0.09166370471222138,0.008402234761569316,3.7007434154171886e-16,1.1615871756555052,0.006970951661922227,0.2903967939138763,0.00043568447887013916
3,1.0,0.5,0.5,neel_x,4.0,0.125,32,4.0,mass_density,exact,0.20465479868322523,0.0,0.0,0.0,0.0,1.1615871756555052,0.006970951661922227,0.14519839695693815,0.00010892111971753479
3,1.0,0.5,0.5,neel_x,4.0,0.125,32,4.0,mass_density,trotter1,0.19606232984281363,0.008592468840411593,0.10941266560642468,0.011971131395103307,1.5543122344752192e-15,1.1615871756555052,0.006970951661922227,0.14519839695693815,0.00010892111971753479
3,1.0,0.5,0.5,neel_x,4.0,0.125,32,4.0,mass_density,trotter2,0.19606232984281402,0.008592468840411205,0.022512294523378183,0.0005068034047073233,5.921189464667501e-16,1.1615871756555052,0.006970951661922227,0.14519839695693815,0.00010892111971753479
3,1.0,0.5,0.5,neel_x,4.0,0.0625,64,4.0,mass_density,exact,0.20465479868322523,0.0,0.0,0.0,0.0,1.1615871756555052,0.006970951661922227,0.07259919847846907,2.7230279929383698e-05
3,1.0,0.5,0.5,neel_x,4.0,0.0625,64,4.0,mass_density,trotter1,0.20251532168092834,0.0021394770022968856,0.05125502781588393,0.0026270778764070357,5.551115123125783e-15,1.1615871756555052,0.006970951661922227,0.07259919847846907,2.7230279929383698e-05
