n_sites,backend,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
5,sparse,1.0,1.0,0.5,uniform_x,1.0,0.125,8,1.0,h_hop_density,trotter2,0.7840630282590588,0.0024775687794345025,0.009775524550539996,9.556088023821019e-05,2.1094237467877974e-15,1.5521249783802742,0.255714971219813,0.19401562229753427,0.003995546425309578
5,sparse,1.0,1.0,0.5,uniform_x,1.0,0.0625,16,1.0,h_hop_density,exact,0.7815854594796243,0.0,0.0,0.0,8.881784197001252e-16,1.5521249783802742,0.255714971219813,0.09700781114876714,0.0009988866063273946
5,sparse,1.0,1.0,0.5,uniform_x,1.0,0.0625,16,1.0,h_hop_density,trotter1,0.7784625811064222,0.0031228783732021315,0.07540608516931255,0.005686077680561619,1.4432899320127035e-15,1.5521249783802742,0.255714971219813,0.09700781114876714,0.0009988866063273946
5,sparse,1.0,1.0,0.5,uniform_x,1.0,0.0625,16,1.0,h_hop_density,trotter2,0.7822080581543017,0.0006225986746773993,0.002435029678173559,5.929369533586026e-06,9.769962616701378e-16,1.5521249783802742,0.255714971219813,0.09700781114876714,0.0009988866063273946
5,sparse,1.0,1.0,0.5,uniform_x,1.0,0.03125,32,1.0,h_hop_density,exact,0.7815854594796243,0.0,0.0,0.0,8.881784197001252e-16,1.5521249783802742,0.255714971219813,0.04850390557438357,0.00024972165158184865
5,sparse,1.0,1.0,0.5,uniform_x,1.0,0.03125,32,1.0,h_hop_density,trotter1,0.7805150866222447,0.0010703728573796534,0.03750162340435988,0.0014063717579624324,1.3322676295501878e-15,1.5521249783802742,0.255714971219813,0.04850390557438357,0.00024972165158184865
5,sparse,1.0,1.0,0.5,uniform_x,1.0,0.03125,32,1.0,h_hop_density,trotter2,0.7817413028263963,0.00015584334677198886,0.000608204293706558,3.69912462883093e-07,2.220446049250313e-16,1.5521249783802742,0.255714971219813,0.04850390557438357,0.00024972165158184865
5,sparse,1.0,1.0,0.5,uniform_x,2.0,0.25,8,2.0,h_hop_density,exact,0.24629115170994514,0.0,0.0,0.0,1.3322676295501878e-15,1.4918536659874604,0.07602538468759709,0.3729634164968651,0.004751586542974818
5,sparse,1.0,1.0,0.5,uniform_x,2.0,0.25,8,2.0,h_hop_density,trotter1,0.2983165189802717,0.052025367270326583,0.21954891585324796,0.04820172645233656,1.1990408665951691e-15,1.4918536659874604,0.07602538468759709,0.3729634164968651,0.004751586542974818
5,sparse,1.0,1.0,0.5,uniform_x,2.0,0.25,8,2.0,h_hop_density,trotter2,0.24287703528888574,0.0034141164210594044,0.03505347862558526,0.0012287463637543627,3.9968028886505636e-16,1.4918536659874604,0.07602538468759709,0.3729634164968651,0.004751586542974818
5,sparse,1.0,1.0,0.5,uniform_x,2.0,0.125,16,2.0,h_hop_density,exact,0.24629115170994514,0.0,0.0,0.0,1.3322676295501878e-15,1.4918536659874604,0.07602538468759709,0.18648170824843255,0.0011878966357437046
5,sparse,1.0,1.0,0.5,uniform_x,2.0,0.125,16,2.0,h_hop_density,trotter1,0.2753596238562914,0.02906847214634628,0.11031196240569711,0.012168729049795934,1.3988810110276972e-15,1.4918536659874604,0.07602538468759709,0.18648170824843255,0.0011878966357437046
5,sparse,1.0,1.0,0.5,uniform_x,2.0,0.125,16,2.0,h_hop_density,trotter2,0.24545992586804807,0.0008312258418970708,0.008500404140262584,7.225687054779328e-05,3.1086244689504383e-15,1.4918536659874604,0.07602538468759709,0.18648170824843255,0.0011878966357437046
5,sparse,1.0,1.0,0.5,uniform_x,2.0,0.0625,32,2.0,h_hop_density,exact,0.24629115170994514,0.0,0.0,0.0,1.3322676295501878e-15,1.4918536659874604,0.07602538468759709,0.09324085412421627,0.00029697415893592614
5,sparse,1.0,1.0,0.5,uniform_x,2.0,0.0625,32,2.0,h_hop_density,trotter1,0.2617086936089138,0.015417541898968656,0.055220845168067,0.0030493417410756285,1.9984014443252818e-16,1.4918536659874604,0.07602538468759709,0.09324085412421627,0.00029697415893592614
5,sparse,1.0,1.0,0.5,uniform_x,2.0,0.0625,32,2.0,h_hop_density,trotter2,0.24608534652631975,0.00020580518362539602,0.002109079241946354,4.4482152488090065e-06,4.440892098500626e-16,1.4918536659874604,0.07602538468759709,0.09324085412421627,0.00029697415893592614
5,sparse,1.0,1.0,0.5,uniform_x,2.0,0.03125,64,2.0,h_hop_density,exact,0.24629115170994514,0.0,0.0,0.0,1.3322676295501878e-15,1.4918536659874604,0.07602538468759709,0.04662042706210814,7.424353973398153e-05
5,sparse,1.0,1.0,0.5,uniform_x,2.0,0.03125,64,2.0,h_hop_density,trotter1,0.25423129598495897,0.007940144275013827,0.02762326814562959,0.0007630449430453545,3.9968028886505636e-16,1.4918536659874604,0.07602538468759709,0.04662042706210814,7.424353973398153e-05
5,sparse,1.0,1.0,0.5,uniform_x,2.0,0.03125,64,2.0,h_hop_density,trotter2,0.24623983398430235,5.131772564279102e-05,0.0005262750289099348,2.7696540605415265e-07,8.881784197001252e-16,1.4918536659874604,0.07602538468759709,0.04662042706210814,7.424353973398153e-05
