n_sites,backend,split,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.0625,8,0.5,h_hop_density,trotter1,-0.4959205690113392,0.001140535982473434,0.05772891096865177,0.0033326271616265224,0.9999999999999998,1.5260207086945767,0.03865733935836449,0.09537629429341105,0.0001510052318686113
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.0625,8,0.5,h_hop_density,trotter2,-0.4959205690113394,0.001140535982473212,0.002420265667924109,5.857685903332133e-06,0.9999999999999998,1.5260207086945767,0.03865733935836449,0.09537629429341105,0.0001510052318686113
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,0.5,2,1.0,h_hop_density,exact,-0.2214299495725056,0.0,0.0,0.0,0.9999999999999998,1.1542203052370672,0.0029325366367415557,0.5771101526185336,0.0007331341591853889
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,0.5,2,1.0,h_hop_density,trotter1,-0.12230134990448284,0.09912859966802277,0.4993126225989012,0.24931309508659272,0.9999999999999998,1.1542203052370672,0.0029325366367415557,0.5771101526185336,0.0007331341591853889
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,0.5,2,1.0,h_hop_density,trotter2,-0.12230134990448283,0.09912859966802279,0.19454307818470026,0.0378470092695784,0.9999999999999998,1.1542203052370672,0.0029325366367415557,0.5771101526185336,0.0007331341591853889
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,0.25,4,1.0,h_hop_density,exact,-0.2214299495725056,0.0,0.0,0.0,0.9999999999999998,1.1542203052370672,0.0029325366367415557,0.2885550763092668,0.00018328353979634723
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,0.25,4,1.0,h_hop_density,trotter1,-0.19682659185156187,0.02460335772094374,0.2390028407875478,0.05712235790451792,0.9999999999999998,1.1542203052370672,0.0029325366367415557,0.2885550763092668,0.00018328353979634723
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,0.25,4,1.0,h_hop_density,trotter2,-0.1968265918515618,0.024603357720943825,0.045824458989189715,0.00209988104165193,0.9999999999999998,1.1542203052370672,0.0029325366367415557,0.2885550763092668,0.00018328353979634723
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,0.125,8,1.0,h_hop_density,exact,-0.2214299495725056,0.0,0.0,0.0,0.9999999999999998,1.1542203052370672,0.0029325366367415557,0.1442775381546334,4.582088494908681e-05
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,0.125,8,1.0,h_hop_density,trotter1,-0.21528598126804988,0.006143968304455738,0.11703228046763484,0.013696554671455141,0.9999999999999998,1.1542203052370672,0.0029325366367415557,0.1442775381546334,4.582088494908681e-05
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,0.125,8,1.0,h_hop_density,trotter2,-0.2152859812680495,0.006143968304456127,0.011277097435306157,0.0001271729265653887,0.9999999999999998,1.1542203052370672,0.0029325366367415557,0.1442775381546334,4.582088494908681e-05
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,0.0625,16,1.0,h_hop_density,exact,-0.2214299495725056,0.0,0.0,0.0,0.9999999999999998,1.1542203052370672,0.0029325366367415557,0.0721387690773167,1.1455221237271702e-05
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,0.0625,16,1.0,h_hop_density,trotter1,-0.21989441153511663,0.0015355380373889838,0.05797443624836911,0.003361035258316214,0.9999999999999998,1.1542203052370672,0.0029325366367415557,0.0721387690773167,1.1455221237271702e-05
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,0.0625,16,1.0,h_hop_density,trotter2,-0.21989441153511682,0.0015355380373887895,0.002808074383946876,7.885281745778627e-06,0.9999999999999998,1.1542203052370672,0.0029325366367415557,0.0721387690773167,1.1455221237271702e-05
