n_sites,j,g,m,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation
3,1.0,1.5,0.5,0.1,20,2.0,electric_density,trotter1,1.0998118039820066,0.010752391069722256,0.13466336736229523,0.018134222509352482,1.4062824978585316e-15
3,1.0,1.5,0.5,0.1,20,2.0,electric_density,trotter2,1.0998118039820064,0.010752391069722478,0.013096299969740398,0.00017151307289742235,4.440892098500626e-16
3,1.0,1.5,0.5,0.05,40,2.0,electric_density,exact,1.1105641950517289,0.0,0.0,0.0,0.0
3,1.0,1.5,0.5,0.05,40,2.0,electric_density,trotter1,1.1078890821138905,0.0026751129378383975,0.06537878397315294,0.0042743853938082,3.1086244689504383e-15
3,1.0,1.5,0.5,0.05,40,2.0,electric_density,trotter2,1.107889082113894,0.002675112937834845,0.0032537289340018164,1.0586751975960595e-05,4.884981308350689e-15
3,1.0,1.5,0.5,0.025,80,2.0,electric_density,exact,1.1105641950517289,0.0,0.0,0.0,0.0
3,1.0,1.5,0.5,0.025,80,2.0,electric_density,trotter1,1.1098962463481201,0.0006679487036087561,0.032221214622807366,0.0010382066717690153,9.325873406851315e-15
3,1.0,1.5,0.5,0.025,80,2.0,electric_density,trotter2,1.109896246348114,0.0006679487036149734,0.0008121607188603006,6.596050332596803e-07,3.9968028886505635e-15
4,1.0,0.5,0.5,0.4,5,2.0,electric_density,exact,0.15665848763835077,0.0,0.0,0.0,6.106226635438361e-16
4,1.0,0.5,0.5,0.4,5,2.0,electric_density,trotter1,0.08984480753660623,0.06681368010174454,0.4934052211593325,0.2434487122672898,4.440892098500626e-16
4,1.0,0.5,0.5,0.4,5,2.0,electric_density,trotter2,0.08984480753660617,0.0668136801017446,0.1503760463423248,0.02261295531354901,1.1102230246251565e-16
4,1.0,0.5,0.5,0.2,10,2.0,electric_density,exact,0.15665848763835077,0.0,0.0,0.0,6.106226635438361e-16
4,1.0,0.5,0.5,0.2,10,2.0,electric_density,trotter1,0.13995463561479343,0.016703852023557342,0.22838993062615515,0.05216196041141996,5.551115123125783e-17
4,1.0,0.5,0.5,0.2,10,2.0,electric_density,trotter2,0.1399546356147934,0.01670385202355737,0.03685118614014659,0.001358009919935732,8.326672684688674e-17
4,1.0,0.5,0.5,0.1,20,2.0,electric_density,exact,0.15665848763835077,0.0,0.0,0.0,6.106226635438361e-16
4,1.0,0.5,0.5,0.1,20,2.0,electric_density,trotter1,0.15249281907541082,0.004165668562939956,0.10868446229844164,0.011812312345101383,1.1102230246251565e-16
4,1.0,0.5,0.5,0.1,20,2.0,electric_density,trotter2,0.15249281907541096,0.004165668562939817,0.009157845821597354,8.38661400921481e-05,1.3322676295501878e-15
4,1.0,0.5,0.5,0.05,40,2.0,electric_density,exact,0.15665848763835077,0.0,0.0,0.0,6.106226635438361e-16
