n_sites,j,g,m,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation
3,1.0,1.0,0.5,0.025,80,2.0,staggered_magnetization,trotter2,0.8377189661924606,0.00016453258018001016,0.0005081789348563098,2.5824582983169364e-07,4.218847493575595e-15
3,1.0,1.5,0.5,0.4,5,2.0,staggered_magnetization,exact,0.515467059021023,0.0,0.0,0.0,0.0
3,1.0,1.5,0.5,0.4,5,2.0,staggered_magnetization,trotter1,0.27835295514347524,0.23711410387754772,0.6385206804346025,0.40770865934266787,8.881784197001252e-16
3,1.0,1.5,0.5,0.4,5,2.0,staggered_magnetization,trotter2,0.2783529551434752,0.23711410387754778,0.23544484048616143,0.055434272911554006,9.992007221626409e-16
3,1.0,1.5,0.5,0.2,10,2.0,staggered_magnetization,exact,0.515467059021023,0.0,0.0,0.0,0.0
3,1.0,1.5,0.5,0.2,10,2.0,staggered_magnetization,trotter1,0.45895531432985015,0.056511744691172816,0.28607822350559614,0.08184074996411783,1.4802973661668753e-16
3,1.0,1.5,0.5,0.2,10,2.0,staggered_magnetization,trotter2,0.45895531432984993,0.05651174469117304,0.05368673556792488,0.0028822655759402904,1.1102230246251565e-15
3,1.0,1.5,0.5,0.1,20,2.0,staggered_magnetization,exact,0.515467059021023,0.0,0.0,0.0,0.0
3,1.0,1.5,0.5,0.1,20,2.0,staggered_magnetization,trotter1,0.5016324200397743,0.013834638981248704,0.13466336736229523,0.018134222509352482,1.4062824978585316e-15
3,1.0,1.5,0.5,0.1,20,2.0,staggered_magnetization,trotter2,0.5016324200397747,0.01383463898124826,0.013096299969740398,0.00017151307289742235,4.440892098500626e-16
3,1.0,1.5,0.5,0.05,40,2.0,staggered_magnetization,exact,0.515467059021023,0.0,0.0,0.0,0.0
3,1.0,1.5,0.5,0.05,40,2.0,staggered_magnetization,trotter1,0.512028040370685,0.0034390186503380216,0.06537878397315294,0.0042743853938082,3.1086244689504383e-15
3,1.0,1.5,0.5,0.05,40,2.0,staggered_magnetization,trotter2,0.5120280403706874,0.003439018650335579,0.0032537289340018164,1.0586751975960595e-05,4.884981308350689e-15
3,1.0,1.5,0.5,0.025,80,2.0,staggered_magnetization,exact,0.515467059021023,0.0,0.0,0.0,0.0
3,1.0,1.5,0.5,0.025,80,2.0,staggered_magnetization,trotter1,0.5146085502984123,0.0008585087226106181,0.032221214622807366,0.0010382066717690153,9.325873406851315e-15
3,1.0,1.5,0.5,0.025,80,2.0,staggered_magnetization,trotter2,0.5146085502984094,0.0008585087226136157,0.0008121607188603006,6.596050332596803e-07,3.9968028886505635e-15
4,1.0,0.5,0.5,0.4,5,2.0,staggered_magnetization,exact,0.4584387750163877,0.0,0.0,0.0,6.106226635438361e-16
4,1.0,0.5,0.5,0.4,5,2.0,staggered_magnetization,trotter1,0.3762709387358529,0.08216783628053481,0.4934052211593325,0.2434487122672898,4.440892098500626e-16
4,1.0,0.5,0.5,0.4,5,2.0,staggered_magnetization,trotter2,0.37627093873585277,0.08216783628053492,0.1503760463423248,0.02261295531354901,1.1102230246251565e-16
4,1.0,0.5,0.5,0.2,10,2.0,staggered_magnetization,exact,0.4584387750163877,0.0,0.0,0.0,6.106226635438361e-16
4,1.0,0.5,0.5,0.2,10,2.0,staggered_magnetization,trotter1,0.436918700923591,0.021520074092796715,0.22838993062615515,0.05216196041141996,5.551115123125783e-17
4,1.0,0.5,0.5,0.2,10,2.0,staggered_magnetization,trotter2,0.4369187009235912,0.021520074092796493,0.03685118614014659,0.001358009919935732,8.326672684688674e-17
4,1.0,0.5,0.5,0.1,20,2.0,staggered_magnetization,exact,0.4584387750163877,0.0,0.0,0.0,6.106226635438361e-16
4,1.0,0.5,0.5,0.1,20,2.0,staggered_magnetization,trotter1,0.45301043253952933,0.005428342476858361,0.10868446229844164,0.011812312345101383,1.1102230246251565e-16
4,1.0,0.5,0.5,0.1,20,2.0,staggered_magnetization,trotter2,0.45301043253952983,0.005428342476857861,0.009157845821597354,8.38661400921481e-05,1.3322676295501878e-15
4,1.0,0.5,0.5,0.05,40,2.0,staggered_magnetization,exact,0.4584387750163877,0.0,0.0,0.0,6.106226635438361e-16
4,1.0,0.5,0.5,0.05,40,2.0,staggered_magnetization,trotter1,0.4570788944330492,0.0013598805833384686,0.052935599228959226,0.0028021776657289887,2.1371793224034263e-15
4,1.0,0.5,0.5,0.05,40,2.0,staggered_magnetization,trotter2,0.4570788944330509,0.0013598805833368033,0.0022859005625860775,5.2253413820313455e-06,7.216449660063518e-16
4,1.0,0.5,0.5,0.025,80,2.0,staggered_magnetization,exact,0.4584387750163877,0.0,0.0,0.0,6.106226635438361e-16
4,1.0,0.5,0.5,0.025,80,2.0,staggered_magnetization,trotter1,0.45809863377443855,0.0003401412419491434,0.02611625392960469,0.0006820587193155925,3.3306690738754696e-15
4,1.0,0.5,0.5,0.025,80,2.0,staggered_magnetization,trotter2,0.4580986337744337,0.0003401412419539729,0.0005712506484911341,3.2632730340154126e-07,8.881784197001252e-15
4,1.0,1.0,0.5,0.4,5,2.0,staggered_magnetization,exact,0.760740193814324,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.4,5,2.0,staggered_magnetization,trotter1,0.8044582623648127,0.043718068550488653,0.5145430282980707,0.2647545279701492,4.163336342344337e-16
4,1.0,1.0,0.5,0.4,5,2.0,staggered_magnetization,trotter2,0.8044582623648129,0.043718068550488876,0.1896318204111494,0.03596022731244641,5.551115123125783e-16
