n_sites,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,1.0,0.5,0.5,uniform_x,1.0,0.5,2,1.0,staggered_magnetization,trotter1,0.20699323006896175,0.02760435605442471,0.3315190675073053,0.10990489212091326,9.251858538542972e-16,0.9430883961307849,0.019166758665851817,0.47154419806539244,0.004791689666462954
3,1.0,0.5,0.5,uniform_x,1.0,0.5,2,1.0,staggered_magnetization,trotter2,0.20699323006896192,0.027604356054424545,0.09708063135496113,0.009424648984277861,3.7007434154171886e-16,0.9430883961307849,0.019166758665851817,0.47154419806539244,0.004791689666462954
3,1.0,0.5,0.5,uniform_x,1.0,0.25,4,1.0,staggered_magnetization,exact,0.23459758612338646,0.0,0.0,0.0,8.881784197001252e-16,0.9430883961307849,0.019166758665851817,0.23577209903269622,0.0011979224166157386
3,1.0,0.5,0.5,uniform_x,1.0,0.25,4,1.0,staggered_magnetization,trotter1,0.22828635263061825,0.0063112334927682145,0.15113535942754852,0.022841896869294276,2.220446049250313e-16,0.9430883961307849,0.019166758665851817,0.23577209903269622,0.0011979224166157386
3,1.0,0.5,0.5,uniform_x,1.0,0.25,4,1.0,staggered_magnetization,trotter2,0.22828635263061808,0.006311233492768381,0.022647123209885968,0.0005128921896837557,3.3306690738754696e-16,0.9430883961307849,0.019166758665851817,0.23577209903269622,0.0011979224166157386
3,1.0,0.5,0.5,uniform_x,1.0,0.125,8,1.0,staggered_magnetization,exact,0.23459758612338646,0.0,0.0,0.0,8.881784197001252e-16,0.9430883961307849,0.019166758665851817,0.11788604951634811,0.00029948060415393464
3,1.0,0.5,0.5,uniform_x,1.0,0.125,8,1.0,staggered_magnetization,trotter1,0.23305260764765995,0.0015449784757265161,0.07221027227229647,0.005214323421639189,7.771561172376096e-16,0.9430883961307849,0.019166758665851817,0.11788604951634811,0.00029948060415393464
3,1.0,0.5,0.5,uniform_x,1.0,0.125,8,1.0,staggered_magnetization,trotter2,0.23305260764765978,0.0015449784757266827,0.005570188146015235,3.102699598200864e-05,1.7763568394002505e-15,0.9430883961307849,0.019166758665851817,0.11788604951634811,0.00029948060415393464
3,1.0,0.5,0.5,uniform_x,1.0,0.0625,16,1.0,staggered_magnetization,exact,0.23459758612338646,0.0,0.0,0.0,8.881784197001252e-16,0.9430883961307849,0.019166758665851817,0.058943024758174055,7.487015103848366e-05
3,1.0,0.5,0.5,uniform_x,1.0,0.0625,16,1.0,staggered_magnetization,trotter1,0.23421334987010223,0.00038423625328423694,0.035307982539212045,0.0012466536309893028,3.1086244689504383e-15,0.9430883961307849,0.019166758665851817,0.058943024758174055,7.487015103848366e-05
3,1.0,0.5,0.5,uniform_x,1.0,0.0625,16,1.0,staggered_magnetization,trotter2,0.234213349870103,0.0003842362532834598,0.0013869545250919976,1.9236428546731688e-06,2.220446049250313e-16,0.9430883961307849,0.019166758665851817,0.058943024758174055,7.487015103848366e-05
3,1.0,0.5,0.5,uniform_x,1.0,0.03125,32,1.0,staggered_magnetization,exact,0.23459758612338646,0.0,0.0,0.0,8.881784197001252e-16,0.9430883961307849,0.019166758665851817,0.029471512379087027,1.8717537759620915e-05
3,1.0,0.5,0.5,uniform_x,1.0,0.03125,32,1.0,staggered_magnetization,trotter1,0.23450165195577047,9.593416761599638e-05,0.017460212152679917,0.0003048590084165914,2.6645352591003757e-15,0.9430883961307849,0.019166758665851817,0.029471512379087027,1.8717537759620915e-05
3,1.0,0.5,0.5,uniform_x,1.0,0.03125,32,1.0,staggered_magnetization,trotter2,0.23450165195577,9.593416761646822e-05,0.00034639109215875267,1.1998678872693347e-07,4.440892098500626e-16,0.9430883961307849,0.019166758665851817,0.029471512379087027,1.8717537759620915e-05
3,1.0,0.5,0.5,uniform_x,2.0,0.5,4,2.0,staggered_magnetization,exact,-0.014825104930627928,0.0,0.0,0.0,8.141635513917814e-16,0.9705184932514215,0.49221950077224264,0.48525924662571074,0.12305487519306066
