n_sites,j,g,m,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation
4,1.0,0.5,0.5,0.4,5,2.0,h_hop_density,trotter2,0.6468085092901805,0.03268638443672578,0.1503760463423248,0.02261295531354901,1.1102230246251565e-16
4,1.0,0.5,0.5,0.2,10,2.0,h_hop_density,exact,0.6141221248534547,0.0,0.0,0.0,6.106226635438361e-16
4,1.0,0.5,0.5,0.2,10,2.0,h_hop_density,trotter1,0.6419713611729226,0.027849236319467896,0.22838993062615515,0.05216196041141996,5.551115123125783e-17
4,1.0,0.5,0.5,0.2,10,2.0,h_hop_density,trotter2,0.6242684095644992,0.010146284711044506,0.03685118614014659,0.001358009919935732,8.326672684688674e-17
4,1.0,0.5,0.5,0.1,20,2.0,h_hop_density,exact,0.6141221248534547,0.0,0.0,0.0,6.106226635438361e-16
4,1.0,0.5,0.5,0.1,20,2.0,h_hop_density,trotter1,0.6293362269781612,0.015214102124706419,0.10868446229844164,0.011812312345101383,1.1102230246251565e-16
4,1.0,0.5,0.5,0.1,20,2.0,h_hop_density,trotter2,0.6167660000900262,0.0026438752365715024,0.009157845821597354,8.38661400921481e-05,1.3322676295501878e-15
4,1.0,0.5,0.5,0.05,40,2.0,h_hop_density,exact,0.6141221248534547,0.0,0.0,0.0,6.106226635438361e-16
4,1.0,0.5,0.5,0.05,40,2.0,h_hop_density,trotter1,0.6219778407238878,0.0078557158704331,0.052935599228959226,0.0028021776657289887,2.1371793224034263e-15
4,1.0,0.5,0.5,0.05,40,2.0,h_hop_density,trotter2,0.6147895639165353,0.0006674390630805327,0.0022859005625860775,5.2253413820313455e-06,7.216449660063518e-16
4,1.0,0.5,0.5,0.025,80,2.0,h_hop_density,exact,0.6141221248534547,0.0,0.0,0.0,6.106226635438361e-16
4,1.0,0.5,0.5,0.025,80,2.0,h_hop_density,trotter1,0.6181040195839047,0.003981894730449964,0.02611625392960469,0.0006820587193155925,3.3306690738754696e-15
4,1.0,0.5,0.5,0.025,80,2.0,h_hop_density,trotter2,0.6142893853592769,0.00016726050582216434,0.0005712506484911341,3.2632730340154126e-07,8.881784197001252e-15
4,1.0,1.0,0.5,0.4,5,2.0,h_hop_density,exact,0.28960145041051666,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.4,5,2.0,h_hop_density,trotter1,0.047767169301667384,0.24183428110884927,0.5145430282980707,0.2647545279701492,4.163336342344337e-16
