family,seed,parameter_name,parameter_value,t_final,nested_abs_initial,nested_abs_final,h_a_energy_density_initial,h_total_energy_density_initial,gauss_violation_initial,q1,power_prefactor_trotter1,q2,power_prefactor_trotter2,linear_prefactor_trotter1,quadratic_prefactor_trotter1,linear_prefactor_abs_trotter1,error_trotter1_dtmin,error_trotter2_dtmin,ratio_dtmin_e1_over_e2,exact_state_infidelity_from_initial
h_evolved,uniform_x,tau,0.75,0.5,2.773413178653076,2.6089638956516605,0.722357038745819,1.166666666666667,4.440892098500626e-16,0.4380699634170603,0.037783510087583856,2.170090966920566,0.44391089705986675,0.12081955375654915,-0.12623516637477217,0.12081955375654915,0.010872558254823472,0.0011492400163296557,9.460650604168238,0.4758307527076847
h_evolved,uniform_x,tau,0.75,1.0,2.773413178653076,3.6929040205285473,0.722357038745819,1.166666666666667,4.440892098500626e-16,1.0120589711974664,0.37039414201406035,1.9449942957225732,0.21576443459589859,0.3862261517487906,-0.05909315750973011,0.3862261517487906,0.021940838361055037,0.000960960649151299,22.83219232799256,0.7839883952801371
ha_evolved,uniform_x,tau,1.0,0.5,2.536112174006719,1.433153377975144,0.0,-0.3872838049524434,2.220446049250313e-16,1.0040790757030487,0.5172237506763662,1.5170582508171215,0.013910493952758365,0.5162239733337697,-0.004106906128021983,0.5162239733337697,0.031899464963319024,0.00017134901402959812,186.16660938480126,0.7638361552386225
ha_evolved,uniform_x,tau,1.0,1.0,2.536112174006719,2.0395866820356465,0.0,-0.3872838049524434,2.220446049250313e-16,0.8879853706299545,0.5867770754391726,2.0247515190206213,0.31651669260621385,0.801559536470455,-0.37092725010007305,0.801559536470455,0.04880054743179513,0.0011636514515839108,41.937426679930645,0.9930718557451595
h_evolved,uniform_x,tau,1.0,0.5,3.3569260930542253,2.1893919566405904,0.8339134521738091,1.1666666666666672,4.440892098500626e-16,0.7256825368676864,0.029766552494385697,2.1388852483468184,0.2676258576920558,-0.011959747596475416,0.2023998048697351,0.011959747596475416,0.005780698737187784,0.0007483007525003194,7.725100793862047,0.4758307527076847
h_evolved,uniform_x,tau,1.0,1.0,3.3569260930542253,5.03674870394354,0.8339134521738091,1.1666666666666672,4.440892098500626e-16,1.2905022172444958,0.12240841384333279,1.9560705135837286,0.3547492941802376,0.07497916413505218,0.03662650596595667,0.07497916413505218,0.0032666485029293757,0.0015387180811604478,2.1229675162234933,0.7839883952801365
ha_evolved,uniform_x,tau,1.5,0.5,2.6797429375346273,2.699728607563541,0.0,-0.8266449727129149,1.1102230246251565e-16,0.8844281492054897,0.4031374437236764,2.1241659009432188,0.12029543274383324,0.5674008761940508,-0.29533659631061493,0.5674008761940508,0.033610298333544564,0.0003481273263715723,96.54599276607992,0.5268691845051301
ha_evolved,uniform_x,tau,1.5,1.0,2.6797429375346273,2.27771390048844,0.0,-0.8266449727129149,1.1102230246251565e-16,1.1920841508486075,0.07881082085591536,2.139875247645875,0.0883717494933047,-0.04798675398238972,0.3853124421873899,0.04798675398238972,0.00472095761867064,0.0002453422080087586,19.242337700417632,0.945109847824516
h_evolved,uniform_x,tau,1.5,0.5,2.1893919566405913,5.036748703943538,0.6523892580731608,1.1666666666666667,4.440892098500626e-16,0.7470987877257509,0.250604887535025,2.0503007557864317,0.4796428255791334,0.5221809541470919,-0.5034719241280655,0.5221809541470919,0.02920785617678505,0.0016592040035208686,17.603535258356004,0.4758307527076847
h_evolved,uniform_x,tau,1.5,1.0,2.1893919566405913,3.4598179047019926,0.6523892580731608,1.1666666666666667,4.440892098500626e-16,0.28735673556597024,0.06332297750056286,2.0417604703352787,0.6811243654853556,0.4104746591525643,-0.6662200298951375,0.4104746591525643,0.02280201300305934,0.0024032660740492817,9.487926971248777,0.7839883952801372
ha_evolved,uniform_x,tau,2.0,0.5,2.808574528532599,1.0637359777446647,0.0,-0.5824352903476632,0.0,0.7433330041103117,0.08457758673412993,2.6379863021587524,0.07048389929127723,0.1604946750447276,-0.12708742939562287,0.1604946750447276,0.010344976771188397,5.6187803941010195e-05,184.11427472853828,0.6799178113474957
ha_evolved,uniform_x,tau,2.0,1.0,2.808574528532599,3.3917268732852253,0.0,-0.5824352903476632,0.0,0.9690074990793497,0.5659489607763927,1.786164933169877,0.02626160059959096,0.6380291806830763,-0.14438552983573957,0.6380291806830763,0.03792164150291799,0.00017091811053931982,221.8702358881629,0.9840598840443291
h_evolved,uniform_x,tau,2.0,0.5,5.0367487039435375,3.45981790470199,0.05114737699677083,1.166666666666667,2.220446049250313e-16,0.7481408401887469,0.3604455594991974,2.1306007902522577,0.3701024055727532,0.7418841565497714,-0.7017449362380958,0.7418841565497714,0.042062405824255134,0.0010540935510017224,39.90386411555458,0.4758307527076847
h_evolved,uniform_x,tau,2.0,1.0,5.0367487039435375,2.932514112476853,0.05114737699677083,1.166666666666667,2.220446049250313e-16,0.17236701329141998,0.031975114412143055,2.1717305095891657,0.32534636957699653,0.2748140726167728,-0.47037644810984763,0.2748140726167728,0.01511970040740751,0.0008361439269632953,18.08265290201794,0.7839883952801364
sector_ground_interp,uniform_x,lambda,0.0,0.5,5.333333333333332,2.7603664521172835,0.0,1.1666666666666663,2.220446049250313e-16,0.7054375817314452,0.286506663656996,2.1868058637877827,0.30889129803090215,0.6551559902863769,-0.6777917401656546,0.6551559902863769,0.03726456059237032,0.0007678170086438674,48.5331272593032,0.47583075270768505
sector_ground_interp,uniform_x,lambda,0.0,1.0,5.333333333333332,3.356926093054225,0.0,1.1666666666666663,2.220446049250313e-16,0.6965834035966758,0.027325057964546796,2.2138585860915523,0.24774228413686386,0.0003930312642119637,0.14276949151252533,0.0003930312642119637,0.005405273441159264,0.000573938231142268,9.417866153299348,0.783988395280137
sector_ground_interp,uniform_x,lambda,0.25,0.5,5.126680416193157,1.1637868703675511,-0.25750662923598794,0.812910896776084,0.0,0.7759086641297979,0.31097669499346614,2.5462789542269793,0.14266623679086918,0.5881061199042351,-0.5034065876389362,0.5881061199042351,0.03401784238002514,0.00014591180334361242,233.13975703470285,0.7556134981469098
sector_ground_interp,uniform_x,lambda,0.25,1.0,5.126680416193157,3.6061642698675236,-0.25750662923598794,0.812910896776084,0.0,0.3491244106260972,0.015087126072704656,2.5163301649323024,0.13615508826034178,0.06473883379419744,-0.08463779569404357,0.06473883379419744,0.005265586478631956,0.00014835709718963308,35.49264968363041,0.9006667772075472
sector_ground_interp,uniform_x,lambda,0.5,0.5,3.7114821665216278,1.1510117314143615,-0.6306019374818722,0.10510032291364275,2.220446049250313e-16,0.9201213956626357,0.3093108510138671,1.866982602237025,0.13472950106440507,0.3926807185210043,-0.14886847951398172,0.3926807185210043,0.023613958814882166,0.0007216783574829494,32.720890920495805,0.9946685498923274
sector_ground_interp,uniform_x,lambda,0.5,1.0,3.7114821665216278,2.677236759706864,-0.6306019374818722,0.10510032291364275,2.220446049250313e-16,1.0256043901223866,0.07195814966897165,1.8522093838434546,0.10151314011292016,0.06607240972455174,0.01077596432627552,0.06607240972455174,0.004227650557857232,0.000564591706316564,7.487978499434081,0.9591795526095953
sector_ground_interp,uniform_x,lambda,0.75,0.5,1.6067118436822767,2.9324344312965716,-0.9175007365817773,-0.6170763358064605,1.1102230246251565e-16,1.21454572382216,0.29100412717856156,1.9920166551805587,0.34173933889390573,0.1528687797495764,0.21657337432442747,0.1528687797495764,0.010420941589186161,0.0013583325108368904,7.671863484122641,0.820561600201471
sector_ground_interp,uniform_x,lambda,0.75,1.0,1.6067118436822767,0.787636138894978,-0.9175007365817773,-0.6170763358064605,1.1102230246251565e-16,1.6447218238749781,0.23932541831801277,2.0112078253275323,0.31612116413584757,0.02203385806810618,0.28231394975625534,0.02203385806810618,0.002668291122844141,0.001200592017314761,2.222479480425023,0.822029833058567
sector_ground_interp,uniform_x,lambda,0.9,0.5,0.5404889012155545,3.3751796990091205,-0.9886831691524921,-0.8914570175753519,1.1102230246251565e-16,1.56004793676586,0.3102355727786471,2.0128471316916574,0.39671185750346905,0.04545269389901467,0.35691329663220356,0.04545269389901467,0.004368648749403015,0.001499972365924307,2.912486155510594,0.6350087820966913
sector_ground_interp,uniform_x,lambda,0.9,1.0,0.5404889012155545,0.31016241233559666,-0.9886831691524921,-0.8914570175753519,1.1102230246251565e-16,1.9029734966846634,0.3519117980886616,2.036723120379849,0.39351077704884446,-6.6507577683382914e-06,0.39218806463964323,6.6507577683382914e-06,0.0018740216083185102,0.0014053584876227987,1.333482968810661,0.723686070468707
